,County,Country,Population (city),Population density (city),Population (county),Population density (county),Lockdown date,Poverty Percentage,White,Black,Asian,American Indian,Pacific Islander,Other Race,Two or More,65+ population,Unnamed: 17,Lifted Date,lat,lng,Date,Specie,City
157,Maricopa,US,1660272,3120,4485414,487,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277,,,33.448376,-112.074036,2/20/2020,no2,Phoenix
158,Maricopa,US,1660272,3120,4485414,487,3/31/2020,12.3,69.4,5.9,4.3,2.2,0.2,13.8,4.1,615277,,,33.448376,-112.074036,3/1/2020,co,Phoenix
159,Multnomah,US,653115,4793,812855,1886,3/25/2020,12,73.7,5.9,8,1,0.6,5.6,5.2,100763,,,45.523064,-122.676483,1/11/2020,so2,Portland
160,Providence,US,179335,9740,638931,1558,3/28/2020,16.1,67.8,9.7,4.6,0.8,0.1,11.8,5.1,93384,,,41.825226,-71.418884,2/10/2020,o3,Providence
161,Shandong,CN,5579264,9400,,,2/5/2020,,,,,,,,,,,,36.066049,120.369393,1/21/2020,o3,Qingdao
162,Shandong,CN,5579264,9400,,,2/5/2020,,,,,,,,,,,,36.066049,120.369393,1/21/2020,no2,Qingdao
163,Hebei,CN,1252400,9800,,,,,,,,,,,,,,,,,1/26/2020,o3,Qinhuangdao
164,Hebei,CN,1252400,9800,,,,,,,,,,,,,,,,,1/26/2020,no2,Qinhuangdao
165,Hebei,CN,1252400,9800,,,,,,,,,,,,,,,,,2/10/2020,so2,Qinhuangdao
166,Hebei,CN,1252400,9800,,,,,,,,,,,,,,,,,2/25/2020,co,Qinhuangdao
167,Heilongjiang,CN,1481637,950,,,,,,,,,,,,,,,47.34088,123.960448,2/10/2020,o3,Qiqihar
168,Heilongjiang,CN,1481637,950,,,,,,,,,,,,,,,47.34088,123.960448,1/31/2020,no2,Qiqihar
169,Queens,US,253858,20907,253858,20907,3/22/2020,11.6,35.9,18.5,26.4,0.7,0.1,13.4,5,340656,,,40.74205,-73.769417,3/1/2020,o3,Queens
170,Wake,US,469298,3163,1111761,1331,3/30/2020,8.4,63.5,20.3,7.8,0.5,0.1,4.9,3,113852,,,35.787743,-78.644257,2/25/2020,o3,Raleigh
171,Richmond City,US,228783,3732,228783,3732,4/1/2020,22.3,43.3,47.3,2.3,0.3,0.1,4.1,2.6,27831,,,37.54129,-77.434769,,,Richmond
172,Sacramento,US,508529,5059,1552058,1608,3/19/2020,14.3,53.5,10.2,16.4,1,1.1,10.2,7.5,202207,,,38.575764,-121.478851,3/5/2020,pm25,Sacramento
173,Ramsey,US,307695,5815,550321,3620,3/27/2020,14.6,63.1,12.7,16.3,0.7,0.1,3.1,4.1,74248,,,44.954445,-93.091301,,,Saint Paul
174,Marion,US,173442,3445,347818,293,3/23/2020,14.5,74.9,1.3,2.3,1.6,1,14.3,4.6,50268,,,44.944099,-123.040283,,,Salem
175,Salt Lake,US,200591,1742,11690437,15755,3/30/2020,9,78.3,1.9,4.4,0.9,1.6,9,3.8,114930,,,40.76,-111.9,3/6/2020,o3,Salt Lake City
176,Salt Lake,US,200591,1742,11690437,15755,3/30/2020,9,78.3,1.9,4.4,0.9,1.6,9,3.8,114930,,,40.76,-111.9,3/6/2020,no2,Salt Lake City
177,Salt Lake,US,200591,1742,11690437,15755,3/30/2020,9,78.3,1.9,4.4,0.9,1.6,9,3.8,114930,,,40.76,-111.9,2/15/2020,co,Salt Lake City
178,Bexar,US,1532233,3238,1714773,1382,3/24/2020,17.2,70.8,8.1,3,0.8,0.2,13.2,3.9,223805,,,29.424349,-98.491142,,,San Antonio
